nombre,grupo,categoria,alcaldia,fecha_decreto,fecha_decreto_iso,superficie,programa_manejo,fecha_pm,fecha_pm_iso,suelo_conservacion,dg_responsable
"Área de prueba 01 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Coyoacán","01/01/2024","2024-01-01","1544.9","No","","","Sí","DGSANPAVA"
"Área de prueba 02 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Miguel Hidalgo","01/01/2002","2002-01-01","270.28","No","","","Sí","DGSANPAVA"
"Área de prueba 03 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Cuajimalpa","01/01/2003","2003-01-01","1839.64","Sí","15/06/2005","2005-06-15","No","DGCORENADER"
"Área de prueba 04 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Tláhuac","01/01/2019","2019-01-01","2493.9","Sí","15/06/2021","2021-06-15","No","DGCORENADER"
"Área de prueba 05 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Tlalpan","01/01/2005","2005-01-01","1889.69","Sí","15/06/2007","2007-06-15","Sí","DGSANPAVA"
"Área de prueba 06 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Magdalena Contreras","01/01/2009","2009-01-01","1340.85","Sí","15/06/2011","2011-06-15","No","DGCORENADER"
"Área de prueba 07 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Tláhuac","01/01/2008","2008-01-01","2646.63","Sí","15/06/2010","2010-06-15","Sí","DGCORENADER"
"Área de prueba 08 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Miguel Hidalgo","01/01/2000","2000-01-01","417.14","Sí","15/06/2002","2002-06-15","No","DGCORENADER"
"Área de prueba 09 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Milpa Alta","01/01/1992","1992-01-01","216.95","Sí","15/06/1994","1994-06-15","No","DGCORENADER"
"Área de prueba 10 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Tláhuac","01/01/2012","2012-01-01","1345.05","Sí","15/06/2014","2014-06-15","No","DGSANPAVA"
"Área de prueba 11 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Iztapalapa","01/01/1995","1995-01-01","1284.27","No","","","Sí","DGSANPAVA"
"Área de prueba 12 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Milpa Alta","01/01/2009","2009-01-01","1563.83","No","","","No","DGCORENADER"
"Área de prueba 13 · Bosque Urbano","AVA · Bosque Urbano","Bosque Urbano","Milpa Alta","01/01/2014","2014-01-01","942.14","No","","","No","DGCORENADER"
"Área de prueba 14 · Barranca","AVA · Barranca","Barranca","Tláhuac","01/01/2000","2000-01-01","323.22","Sí","15/06/2002","2002-06-15","Sí","DGSANPAVA"
"Área de prueba 15 · Barranca","AVA · Barranca","Barranca","Tlalpan","01/01/2008","2008-01-01","1995.67","Sí","15/06/2010","2010-06-15","No","DGCORENADER"
"Área de prueba 16 · Barranca","AVA · Barranca","Barranca","Coyoacán","01/01/2021","2021-01-01","455.86","Sí","15/06/2023","2023-06-15","No","DGCORENADER"
"Área de prueba 17 · Barranca","AVA · Barranca","Barranca","Gustavo A. Madero","01/01/1998","1998-01-01","2333.85","No","","","No","DGCORENADER"
"Área de prueba 18 · Barranca","AVA · Barranca","Barranca","Milpa Alta","01/01/2012","2012-01-01","2388.25","No","","","Sí","DGSANPAVA"
"Área de prueba 19 · Barranca","AVA · Barranca","Barranca","Tlalpan","01/01/1995","1995-01-01","415.3","No","","","Sí","DGSANPAVA"
"Área de prueba 20 · Barranca","AVA · Barranca","Barranca","Tláhuac","01/01/2021","2021-01-01","498.87","Sí","15/06/2023","2023-06-15","No","DGSANPAVA"
"Área de prueba 21 · Barranca","AVA · Barranca","Barranca","Gustavo A. Madero","01/01/1999","1999-01-01","1447.12","No","","","No","DGSANPAVA"
"Área de prueba 22 · Barranca","AVA · Barranca","Barranca","Tláhuac","01/01/2022","2022-01-01","1771.17","No","","","Sí","DGCORENADER"
"Área de prueba 23 · Barranca","AVA · Barranca","Barranca","Gustavo A. Madero","01/01/2015","2015-01-01","1082.05","No","","","Sí","DGCORENADER"
"Área de prueba 24 · Barranca","AVA · Barranca","Barranca","Álvaro Obregón","01/01/2015","2015-01-01","521.12","Sí","15/06/2017","2017-06-15","Sí","DGCORENADER"
"Área de prueba 25 · Barranca","AVA · Barranca","Barranca","Coyoacán","01/01/2000","2000-01-01","923.42","No","","","Sí","DGSANPAVA"
"Área de prueba 26 · Barranca","AVA · Barranca","Barranca","Tláhuac","01/01/1990","1990-01-01","415.21","Sí","15/06/1992","1992-06-15","Sí","DGCORENADER"
"Área de prueba 27 · Barranca","AVA · Barranca","Barranca","Coyoacán","01/01/1991","1991-01-01","2361.7","Sí","15/06/1993","1993-06-15","No","DGSANPAVA"
"Área de prueba 28 · Barranca","AVA · Barranca","Barranca","Miguel Hidalgo","01/01/2006","2006-01-01","1629.34","Sí","15/06/2008","2008-06-15","No","DGSANPAVA"
"Área de prueba 29 · Barranca","AVA · Barranca","Barranca","Cuajimalpa","01/01/1997","1997-01-01","2681.43","No","","","No","DGCORENADER"
"Área de prueba 30 · Barranca","AVA · Barranca","Barranca","Iztapalapa","01/01/2020","2020-01-01","239.2","No","","","Sí","DGCORENADER"
"Área de prueba 31 · Barranca","AVA · Barranca","Barranca","Cuajimalpa","01/01/2006","2006-01-01","2239.28","No","","","Sí","DGSANPAVA"
"Área de prueba 32 · Barranca","AVA · Barranca","Barranca","Magdalena Contreras","01/01/2003","2003-01-01","981.84","No","","","Sí","DGCORENADER"
"Área de prueba 33 · Barranca","AVA · Barranca","Barranca","Iztapalapa","01/01/1995","1995-01-01","1403.52","Sí","15/06/1997","1997-06-15","Sí","DGCORENADER"
"Área de prueba 34 · Barranca","AVA · Barranca","Barranca","Magdalena Contreras","01/01/2004","2004-01-01","1465.9","No","","","No","DGSANPAVA"
"Área de prueba 35 · Barranca","AVA · Barranca","Barranca","Xochimilco","01/01/2002","2002-01-01","2210.95","Sí","15/06/2004","2004-06-15","Sí","DGSANPAVA"
"Área de prueba 36 · Barranca","AVA · Barranca","Barranca","Cuajimalpa","01/01/2023","2023-01-01","965.17","Sí","15/06/2025","2025-06-15","Sí","DGSANPAVA"
"Área de prueba 37 · Barranca","AVA · Barranca","Barranca","Cuajimalpa","01/01/2007","2007-01-01","705.7","Sí","15/06/2009","2009-06-15","No","DGCORENADER"
"Área de prueba 38 · Barranca","AVA · Barranca","Barranca","Miguel Hidalgo","01/01/2012","2012-01-01","224.81","Sí","15/06/2014","2014-06-15","Sí","DGSANPAVA"
"Área de prueba 39 · Barranca","AVA · Barranca","Barranca","Xochimilco","01/01/2020","2020-01-01","917.19","Sí","15/06/2022","2022-06-15","No","DGSANPAVA"
"Área de prueba 40 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Milpa Alta","01/01/2020","2020-01-01","934.07","Sí","15/06/2022","2022-06-15","Sí","DGSANPAVA"
"Área de prueba 41 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Xochimilco","01/01/2014","2014-01-01","1294.86","No","","","Sí","DGCORENADER"
"Área de prueba 42 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Coyoacán","01/01/2011","2011-01-01","2163.82","Sí","15/06/2013","2013-06-15","No","DGCORENADER"
"Área de prueba 43 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Coyoacán","01/01/2015","2015-01-01","1959.16","Sí","15/06/2017","2017-06-15","Sí","DGSANPAVA"
"Área de prueba 44 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Tlalpan","01/01/1991","1991-01-01","1598.47","No","","","No","DGSANPAVA"
"Área de prueba 45 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Milpa Alta","01/01/2020","2020-01-01","2531.66","No","","","Sí","DGSANPAVA"
"Área de prueba 46 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Álvaro Obregón","01/01/1991","1991-01-01","2159.87","No","","","Sí","DGSANPAVA"
"Área de prueba 47 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Xochimilco","01/01/2017","2017-01-01","2232.01","No","","","Sí","DGSANPAVA"
"Área de prueba 48 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Xochimilco","01/01/2006","2006-01-01","796.67","Sí","15/06/2008","2008-06-15","Sí","DGCORENADER"
"Área de prueba 49 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Magdalena Contreras","01/01/2006","2006-01-01","1135.98","No","","","Sí","DGSANPAVA"
"Área de prueba 50 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Cuajimalpa","01/01/2012","2012-01-01","1791.38","Sí","15/06/2014","2014-06-15","No","DGSANPAVA"
"Área de prueba 51 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Tlalpan","01/01/2024","2024-01-01","1417.28","Sí","15/06/2026","2026-06-15","Sí","DGCORENADER"
"Área de prueba 52 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Tláhuac","01/01/2001","2001-01-01","18.59","Sí","15/06/2003","2003-06-15","Sí","DGSANPAVA"
"Área de prueba 53 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Cuajimalpa","01/01/1999","1999-01-01","1674.62","Sí","15/06/2001","2001-06-15","Sí","DGSANPAVA"
"Área de prueba 54 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Milpa Alta","01/01/2010","2010-01-01","1403.39","No","","","No","DGSANPAVA"
"Área de prueba 55 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Xochimilco","01/01/1993","1993-01-01","523.0","Sí","15/06/1995","1995-06-15","Sí","DGSANPAVA"
"Área de prueba 56 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Cuajimalpa","01/01/2022","2022-01-01","1520.18","Sí","15/06/2024","2024-06-15","Sí","DGCORENADER"
"Área de prueba 57 · Zona de Conservación Ecológica","ANP · Local","Zona de Conservación Ecológica","Tláhuac","01/01/2010","2010-01-01","2628.29","No","","","Sí","DGCORENADER"
"Área de prueba 58 · Parque Nacional","ANP · Federal","Parque Nacional","Magdalena Contreras","01/01/2018","2018-01-01","1443.6","No","","","No","DGSANPAVA"
"Área de prueba 59 · Parque Nacional","ANP · Federal","Parque Nacional","Iztapalapa","01/01/2023","2023-01-01","2492.14","No","","","Sí","DGCORENADER"
"Área de prueba 60 · Parque Nacional","ANP · Federal","Parque Nacional","Gustavo A. Madero","01/01/1998","1998-01-01","335.41","Sí","15/06/2000","2000-06-15","No","DGCORENADER"
"Área de prueba 61 · Parque Nacional","ANP · Federal","Parque Nacional","Milpa Alta","01/01/1994","1994-01-01","655.8","Sí","15/06/1996","1996-06-15","Sí","DGSANPAVA"
"Área de prueba 62 · Parque Nacional","ANP · Federal","Parque Nacional","Coyoacán","01/01/2009","2009-01-01","2422.8","Sí","15/06/2011","2011-06-15","Sí","DGCORENADER"
"Área de prueba 63 · Parque Nacional","ANP · Federal","Parque Nacional","Iztapalapa","01/01/1999","1999-01-01","2384.59","Sí","15/06/2001","2001-06-15","No","DGSANPAVA"
"Área de prueba 64 · Parque Nacional","ANP · Federal","Parque Nacional","Gustavo A. Madero","01/01/1996","1996-01-01","2390.24","Sí","15/06/1998","1998-06-15","Sí","DGSANPAVA"
"Área de prueba 65 · Parque Nacional","ANP · Federal","Parque Nacional","Gustavo A. Madero","01/01/2000","2000-01-01","2684.04","No","","","No","DGCORENADER"
"Área de prueba 66 · Parque Nacional","ANP · Federal","Parque Nacional","Xochimilco","01/01/2016","2016-01-01","968.01","Sí","15/06/2018","2018-06-15","Sí","DGCORENADER"
