id,nombre,grupo,categoria,alcaldia,fecha_decreto,fecha_decreto_iso,superficie,programa_manejo,fecha_pm,fecha_pm_iso,suelo_conservacion_pct,dg_responsable,url_pdf_decreto,url_gaceta_decreto,url_pdf_pm,url_gaceta_pm
1,Alameda del Sur,AVA · Bosque Urbano,Bosque Urbano,Coyoacán,05/07/2024,05/07/2024,11.13,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1AwxV8cHw7zZmuQdo-pqzFqQAIQg7RD3T/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/d726cdc28cc87efbb730ac77ff4a045a.pdf,,
2,"Bosque de Chapultepec (1a, 2a, 3a y 4a secciones)",AVA · Bosque Urbano,Bosque Urbano,"Miguel Hidalgo, Álvaro Obregón",31/08/2023,31/08/2023,866.01,Sí,21/08/2024,21/08/2024,0,DGSANPAVA,https://drive.google.com/file/d/13jUtuA5QTYaPbjsg4HbKAShddOpnsIRv/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/c8a3455a6b5cb223a97fdc782c7cc9b2.pdf,https://drive.google.com/file/d/1aY0gmDfZugF72gtSS_6YWnm9ZMjzp_A3/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/noviembre06_17_137.pdf
40,Bosque de las Lomas,ANP · Local,Zona Sujeta a Conservación Ecológica,Miguel Hidalgo,10/08/1994,10/08/1994,26.4,Sí,23/06/2017,23/06/2017,0,DGSANPAVA,https://drive.google.com/file/d/1hM-AONZkaiMBVe9AT5wBbrtqRO54TKSG/view,--,https://drive.google.com/file/d/10qMrOvoSTa3aL-WqiZ8a--52OKrJEugY/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/c24846be1ead364623c9cd8326b30aab.pdf
3,Bosque de Nativitas,AVA · Bosque Urbano,Bosque Urbano,Xochimilco,10/06/2010,10/06/2010,19.28,Sí,12/08/2014,12/08/2014,0,DGSANPAVA,https://drive.google.com/file/d/1CbiPPi9-TXSefW2rwa8CTrTRK1T2KdGq/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4c1071f093460.pdf,https://drive.google.com/file/d/114UfVzTf8MgIpUvTILJtoY6easERArHy/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/df3d110f7aac6381b1be44dbf2d9100c.pdf
4,Bosque de San Luis Tlaxialtemalco,AVA · Bosque Urbano,Bosque Urbano,Xochimilco,04/08/2008,04/08/2008,3.83,Sí,23/07/2014,23/07/2014,0,DGSANPAVA,https://drive.google.com/file/d/11pYD-bIHvj5W1hdp5jwA-tbPRfRd4AMU/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/AGOSTO_4_08.pdf,https://drive.google.com/file/d/10SmVEUhIqY3D-gWTVif9qWiycE5ELFRi/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/73ba5f5175a8dd180f899e5f148fa5b5.pdf
41,Bosque de Tláhuac,ANP · Local,Zona de Protección Especial,Tláhuac,29/01/2024,29/01/2024,58.77,No,—,—,100,DGSANPAVA,https://drive.google.com/file/d/1_3UHkwZjQGrnRzGcoGyPr5bDl_LyMOTB/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/e824e45494464914d7d7345227c4b89b.pdf,---,--
42,Bosque de Tlalpan,ANP · Local,Zona Ecológica y Cultural,Tlalpan,17/06/2011,17/06/2011,252.86,Sí,20/06/2011,20/06/2011,0,DGSANPAVA,https://drive.google.com/file/d/14kyP0fDjGvyn8tsRo9Ur3pYfUEZUAqdo/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4dfacb0602f0e.pdf,https://drive.google.com/file/d/10J586IiDkSo2V1wxqv8d6l4ltaTuTmI1/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4dfc57ef67fa7.pdf
5,Canal Nacional,AVA · Bosque Urbano,Bosque Urbano,"Coyoacán, Iztapalapa, Xochimilco",15/06/2022,15/06/2022,32.32,Sí,23/01/2025,23/01/2025,0,DGSANPAVA,https://drive.google.com/file/d/18SZdH5Ar1R6otlT-FkxCZbhz549RWYcL/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/5253e70100d424154afbadcdfaab19f8.pdf,https://drive.google.com/file/d/1J_n9GVGu0nosGx3EYMQTIJ4ltjWmy8BO/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/520a69e09b67221aa4db4a4b53023a58.pdf
58,Cerro de la Estrella (federal),ANP · Federal,Parque Nacional,Iztapalapa,24/08/1938,24/08/1938,1100,Sí,16/04/2007,16/04/2007,24,DGSANPAVA,,,,
43,Cerro de la Estrella (local),ANP · Local,Zona Ecológica y Cultural,Iztapalapa,02/11/2005,02/11/2005,121.77,Sí,06/04/2007,06/04/2007,99.74,DGSANPAVA,https://drive.google.com/file/d/1cBTr7zolIiki8lIwsuj1LQZfbF2A6nd1/view?usp=sharing,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/noviembre05_02_129.pdf,https://drive.google.com/file/d/101k_VCbQNO3UXpGxedWXKNBHAHvDxRJQ/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/abril07_16_62.pdf
6,Cerro de Zacatepetl,AVA · Bosque Urbano,Bosque Urbano,Coyoacán,23/04/2003,23/04/2003,31.93,Sí,31/07/2018,31/07/2018,0,DGSANPAVA,https://drive.google.com/file/d/1LYIIt9p6I_Pu1-HkhvGGEg7LkJ9VVkag/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/abril03_29_35_bis.pdf,https://drive.google.com/file/d/1TyCkvo8NGjvyJvWadbuMeUdMPVfyO6Ty/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/03c7a9b534a2d15e12a559cf7428c591.pdf
59,Cumbres del Ajusco,ANP · Federal,Parque Nacional,Tlalpan,26/08/1936,26/08/1936,920,No,—,—,100,DGCORENADR,,,,
60,Desierto de los Leones,ANP · Federal,Parque Nacional,Cuajimalpa de Morelos,27/11/1917,27/11/1917,1529,Sí,22/05/2006,22/05/2006,100,DGSANPAVA,,,,
14,Anzaldo,AVA · Barranca,Barranca,Álvaro Obregón,21/12/2011,21/12/2011,16.23,Sí,21/12/2011,21/12/2011,0.08,DGSANPAVA,https://drive.google.com/file/d/1KKaspICFr9HLXPi4M1Sve0xzgGxhFnC2/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ef15cdb50e4a.pdf,https://drive.google.com/file/d/11gshqXDsBt1vk1uRX7BMs_db_ecPGzVl/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ef15cdb50e4a.pdf
15,Atzoyapan,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2011,28/11/2011,20.81,No,—,—,1.29,DGSANPAVA,https://drive.google.com/file/d/18UcVcZkpXJ3jVo8_g5Pr0iOI206pN2ab/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ed063209ff32.pdf,,
16,"Becerra Tepehuache, Sección La Loma",AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,122.38,Sí,28/11/2012,28/11/2012,0,DGSANPAVA,https://drive.google.com/file/d/18WmWJNRhl65iAlYI9kR7gC_8fSa8IX6s/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b59a2dbb95c.pdf,https://drive.google.com/file/d/18WmWJNRhl65iAlYI9kR7gC_8fSa8IX6s/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b59a2dbb95c.pdf
17,Bezares y El Castillo,AVA · Barranca,Barranca,Miguel Hidalgo,28/11/2011,28/11/2011,20.64,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1ZZcdSUmNjvRTJh59fqjARlY5WD2XjdVU/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ed063209ff32.pdf,---,---
18,Coyotera,AVA · Barranca,Barranca,La Magdalena Contreras,15/06/2022,15/06/2022,10.62,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1KMuz6AUk24zgdZOsvEmoGABkRUBEeszc/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/5c421d390ee841ad9fbb5c678b8f901b.pdf,---,---
19,Del Moral,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,22.86,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1X-FgyIxC2XYi4kcKaxkC9We46VhkrYWO/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b59a2dbb95c.pdf,---,---
20,Echánove,AVA · Barranca,Barranca,Cuajimalpa de Morelos,21/12/2011,21/12/2011,48.54,Sí,30/11/2012,30/11/2012,0,DGSANPAVA,https://drive.google.com/file/d/15VYShPTtz7IaiBUamXmdXGLmhF4akjuF/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ef15cdb50e4a.pdf,https://drive.google.com/file/d/1L87STve7Dcrgj6pRcP2nwUkS6h8jJj-U/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b847ff6e38b.pdf
21,El Zapote,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2011,01/12/2011,10.57,Sí,30/11/2012,30/11/2012,0,DGSANPAVA,https://drive.google.com/file/d/1sOHi1O9vVLS1C8LiDpB3EgExOqTFabNM/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ed7007860b38.pdf,https://drive.google.com/file/d/12giweINH2woY3hpj1aM-DQUYBF8hztI_/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b847ff6e38b.pdf
22,Guadalupe,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,74.4,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1X-FgyIxC2XYi4kcKaxkC9We46VhkrYWO/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b59a2dbb95c.pdf,---,---
23,Hueyetlaco,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2011,01/12/2011,7.71,Sí,30/11/2012,30/11/2012,0,DGSANPAVA,https://drive.google.com/file/d/1sOHi1O9vVLS1C8LiDpB3EgExOqTFabNM/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ed7007860b38.pdf,https://drive.google.com/file/d/1Ia3-ld8ZifxnJ6p4fZmXopKOBmc4mgl0/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b847ff6e38b.pdf
24,Jalalpa,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,101.59,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1X-FgyIxC2XYi4kcKaxkC9We46VhkrYWO/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b59a2dbb95c.pdf,--,--
25,La Diferencia,AVA · Barranca,Barranca,Cuajimalpa de Morelos,15/06/2012,15/06/2012,29.33,Sí,03/12/2012,03/12/2012,0,DGSANPAVA,https://drive.google.com/file/d/1MpZLhavn4_9OgP3bkL2esXjIBBY1R_se/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4fdab00c6a371.pdf,https://drive.google.com/file/d/1yeaWYhkHQ43ivT5Xzi_Ba7ybOJC142qO/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50bc21ee521c2.pdf
26,Las Margaritas,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2011,01/12/2011,4.56,Sí,03/12/2012,03/12/2012,0,DGSANPAVA,https://drive.google.com/file/d/1sOHi1O9vVLS1C8LiDpB3EgExOqTFabNM/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ed7007860b38.pdf,https://drive.google.com/file/d/1c-Ata8nFOHmMA2F7_iYnqIGitgRp-i1p/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50bc21ee521c2.pdf
27,Magdalena Eslava,AVA · Barranca,Barranca,"Álvaro Obregón, La Magdalena Contreras",28/11/2012,28/11/2012,22.39,No,—,—,3.83,DGSANPAVA,https://drive.google.com/file/d/1X-FgyIxC2XYi4kcKaxkC9We46VhkrYWO/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b59a2dbb95c.pdf,---,--
28,Milpa Vieja,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2011,01/12/2011,30.88,Sí,30/11/2012,30/11/2012,0,DGSANPAVA,https://drive.google.com/file/d/1sOHi1O9vVLS1C8LiDpB3EgExOqTFabNM/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ed7007860b38.pdf,https://drive.google.com/file/d/1W_a9ATkQUbcZPV2OTSD_7v_U6JOI-crl/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b847ff6e38b.pdf
29,Mimosas,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2011,01/12/2011,3.99,Sí,03/12/2012,03/12/2012,0,DGSANPAVA,https://drive.google.com/file/d/1sOHi1O9vVLS1C8LiDpB3EgExOqTFabNM/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ed7007860b38.pdf,https://drive.google.com/file/d/1fvqs0Oq7XFfZKc2W2HUqsewnswrOTt2x/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b847ff6e38b.pdf
30,Mixcoac,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,84.7,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1X-FgyIxC2XYi4kcKaxkC9We46VhkrYWO/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b59a2dbb95c.pdf,---,--
31,Pachuquilla,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2012,01/12/2012,20.58,Sí,03/12/2012,03/12/2012,1.32,DGSANPAVA,https://drive.google.com/file/d/1sOHi1O9vVLS1C8LiDpB3EgExOqTFabNM/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ed7007860b38.pdf,https://drive.google.com/file/d/17rGU9iVUECuq341YIkqgQHAwZV7xauch/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50bc21ee521c2.pdf
32,Río Becerra Tepehuache,AVA · Barranca,Barranca,Álvaro Obregón,15/06/2022,15/06/2022,34.55,Sí,30/11/2012,30/11/2012,0,DGSANPAVA,https://drive.google.com/file/d/1MpZLhavn4_9OgP3bkL2esXjIBBY1R_se/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/5c421d390ee841ad9fbb5c678b8f901b.pdf,https://drive.google.com/file/d/1-roB7fXXRg_icAFSHk9xdnJMs7JY9Uxz/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b847ff6e38b.pdf
33,San Borja,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,23.66,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1X-FgyIxC2XYi4kcKaxkC9We46VhkrYWO/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b59a2dbb95c.pdf,---,--
34,Santa Rita,AVA · Barranca,Barranca,Cuajimalpa de Morelos,01/12/2012,01/12/2012,3.03,Sí,03/12/2012,03/12/2012,0,DGSANPAVA,https://drive.google.com/file/d/1sOHi1O9vVLS1C8LiDpB3EgExOqTFabNM/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ed7007860b38.pdf,https://drive.google.com/file/d/1Ucxy0iifczOTQKI0rctAZQzqqVK8mD3s/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50bc21ee521c2.pdf
35,Tarango (Puerta Grande y Puerta Colorado),AVA · Barranca,Barranca,Álvaro Obregón,22/07/2009,22/07/2009,267.18,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1HhTh4BPNu6YyhmIei5XSa1SHGHKYVeB7/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/JULIO_22_09.pdf,---,--
36,Tecamachalco,AVA · Barranca,Barranca,Miguel Hidalgo,23/12/2013,23/12/2013,11.83,Sí,23/12/2011,23/12/2011,0,DGSANPAVA,https://drive.google.com/file/d/1PH8u6ULnG2H04fRD_PBaGoYEHxhHmvFs/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/52b50762cb55c.pdf,https://drive.google.com/file/d/1qbFFoGTG3CpIl4PqQCiZCttsMU96uBi2/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4ef403bd043a3.pdf
37,Texcalatlaco,AVA · Barranca,Barranca,"Álvaro Obregón, La Magdalena Contreras",28/11/2012,28/11/2012,24.42,No,—,—,0,DGSANPAVA,https://drive.google.com/file/d/1X-FgyIxC2XYi4kcKaxkC9We46VhkrYWO/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b59a2dbb95c.pdf,---,--
38,Vista Hermosa,AVA · Barranca,Barranca,Álvaro Obregón,28/11/2012,28/11/2012,0.32,Sí,04/12/2012,04/12/2012,0,DGSANPAVA,https://drive.google.com/file/d/1X-FgyIxC2XYi4kcKaxkC9We46VhkrYWO/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50b59a2dbb95c.pdf,https://drive.google.com/file/d/1aXtBt-sZXlJyv9VjOB7hGsgXBkq7gDks/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/50bd8c7aa1906.pdf
39,Volta y Koch,AVA · Barranca,Barranca,Álvaro Obregón,15/06/2012,15/06/2012,1.82,Sí,26/11/2018,26/11/2018,0,DGSANPAVA,https://drive.google.com/file/d/18aAGKunuqOEPGa8n1fn0bc_fb5YHXmxN/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/4fdab00c6a371.pdf,https://drive.google.com/file/d/151E5kJSheLmM3NT1SzdouqeIFKbDUK9d/view?usp=drive_link,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/a8fda6d5f6460e0c88500136d9a640f3.pdf
44,Ecoguardas,ANP · Local,Zona de Conservación Ecológica,Tlalpan,20/11/2006,20/11/2006,132.63,Sí,04/12/2018,04/12/2018,99.86,DGSANPAVA,https://drive.google.com/file/d/1IhrihYn2SBxiP_GdYgegQvMw-fobjUW0/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/noviembre06_29_141.pdf,https://drive.google.com/file/d/10VKIANQNjSdQmBxi3mozRq-vV6fX1Zsv/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/5af9e3603a320f6555ad47eb4086387d.pdf
45,Ejidos de Xochimilco y San Gregorio Atlapulco,ANP · Local,Zona Sujeta a Conservación Ecológica,"Xochimilco, Tláhuac",04/12/2006,04/12/2006,2522.43,Sí,26/02/2018,26/02/2018,99.94,DGSANPAVA,https://drive.google.com/file/d/1E7io4GU4mtEhJo__-DxPZ0g8a3p4poBQ/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/diciembre06_04_142.pdf,https://drive.google.com/file/d/11N6k8bFZMGBlZZOzLrYUplujKFQipm5a/view,https://data.consejeria.cdmx.gob.mx/portal_old/uploads/gacetas/f87bc2f425868d0defda6ca56b028eff.pdf
61,El Histórico Coyoacán,ANP · Federal,Parque Nacional,Coyoacán,26/09/1938,26/09/1938,39.76,No,—,—,0,DGSANPAVA,,,,
62,El Tepeyac,ANP · Federal,Parque Nacional,Gustavo A. Madero (CDMX) / Tlalnepantla de Baz (EDOMEX),18/02/1937,18/02/1937,1500,No,—,—,63.18,DGSANPAVA,,,,
63,Fuentes Brotantes de Tlalpan,ANP · Federal,Parque Nacional,Tlalpan,28/09/1936,28/09/1936,129,No,—,—,0,DGSANPAVA,,,,
