id,nombre,suelo_conservacion_pct
1,"Alameda del Sur",0.00
2,"Bosque de Chapultepec (1a, 2a, 3a y 4a secciones)",0.00
40,"Bosque de las Lomas",0.00
3,"Bosque de Nativitas",0.00
4,"Bosque de San Luis Tlaxialtemalco",0.00
41,"Bosque de Tláhuac",100.00
42,"Bosque de Tlalpan",0.00
5,"Canal Nacional",0.00
58,"Cerro de la Estrella (federal)",24.00
43,"Cerro de la Estrella (local)",99.74
6,"Cerro de Zacatepetl",0.00
59,"Cumbres del Ajusco",100.00
60,"Desierto de los Leones",100.00
14,"Anzaldo",0.08
15,"Atzoyapan",1.29
16,"Becerra Tepehuache, Sección La Loma",0.00
17,"Bezares y El Castillo",0.00
18,"Coyotera",0.00
19,"Del Moral",0.00
20,"Echánove",0.00
21,"El Zapote",0.00
22,"Guadalupe",0.00
23,"Hueyetlaco",0.00
24,"Jalalpa",0.00
25,"La Diferencia",0.00
26,"Las Margaritas",0.00
27,"Magdalena Eslava",3.83
28,"Milpa Vieja",0.00
29,"Mimosas",0.00
30,"Mixcoac",0.00
31,"Pachuquilla",1.32
32,"Río Becerra Tepehuache",0.00
33,"San Borja",0.00
34,"Santa Rita",0.00
35,"Tarango (Puerta Grande y Puerta Colorado)",0.00
36,"Tecamachalco",0.00
37,"Texcalatlaco",0.00
38,"Vista Hermosa",0.00
39,"Volta y Koch",0.00
44,"Ecoguardas",99.86
45,"Ejidos de Xochimilco y San Gregorio Atlapulco",99.94
61,"El Histórico Coyoacán",0.00
62,"El Tepeyac",63.18
63,"Fuentes Brotantes de Tlalpan",0.00
7,"Gran Canal (Ave Fénix)",0.00
64,"Insurgente Miguel Hidalgo y Costilla",95.96
8,"Jardín López Velarde",0.00
46,"La Armella",100.00
47,"La Loma",0.00
65,"Lago Tláhuac-Xico",65.70
66,"Lomas de Padierna",11.83
9,"Loreto y Peña Pobre",0.00
48,"Los Encinos",0.00
10,"Parque Cuitláhuac Sur y Norte",0.00
49,"Parque Ecológico de la Ciudad de México",99.92
11,"Parque Lineal Vicente Guerrero",0.00
50,"San Bernabé Ocotepec",100.00
12,"San Juan de Aragón",0.00
51,"San Miguel Ajusco",99.60
52,"San Miguel Topilejo",99.73
53,"San Nicolás Totolapan",100.00
54,"Sierra de Guadalupe (local)",99.54
55,"Sierra de Santa Catarina (ZCE)",99.84
56,"Sierra de Santa Catarina (ZSCE)",99.87
57,"Tempiluli",100.00
13,"Tepepolco",0.00
